rank,symbol,name,industry,score_total,score_revenue,score_expectation_gap,score_price_volume,score_theme_group,score_chip,score_catalyst,risk_penalty,stage,entry_zone,reasons,risk_flags,last_close,ret_20d,ret_60d,volume_z_20,rs_20d,rs_60d,breakout_flag,created_at
30,3169,亞信,半導體業,72.0,,100.0,23.0,100.0,,,0.0,S2,early_watch,"[""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",103.0,0.1495535714285714,0.0911016949152541,-0.49422342688652965,,,0,2026-05-10T21:50:52
31,3675,德微,半導體業,72.0,,100.0,23.0,100.0,,,0.0,S4,hold_or_trail,"[""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",217.0,0.1955922865013775,0.4229508196721312,-0.3229953490277462,,,0,2026-05-10T21:50:52
32,4973,廣穎,半導體業,72.0,,100.0,23.0,100.0,,,0.0,S4,hold_or_trail,"[""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",83.1,0.34466019417475735,0.598076923076923,-0.4068866407041846,,,0,2026-05-10T21:50:52
33,5236,凌陽創新,半導體業,72.0,,100.0,23.0,100.0,,,0.0,S4,hold_or_trail,"[""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",163.5,0.31325301204819267,0.31854838709677424,-0.0052908159594542165,,,0,2026-05-10T21:50:52
34,5299,杰力,半導體業,72.0,,100.0,23.0,100.0,,,0.0,S4,hold_or_trail,"[""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",88.9,0.19973009446693668,0.12960609911054632,-0.17993876224321242,,,0,2026-05-10T21:50:52
35,5351,鈺創,半導體業,72.0,,100.0,23.0,100.0,,,0.0,S2,early_watch,"[""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",69.8,0.09233176838810642,0.15181518151815165,0.10030108091441965,,,0,2026-05-10T21:50:52
36,6435,大中,半導體業,72.0,,100.0,23.0,100.0,,,0.0,S4,hold_or_trail,"[""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",193.0,0.3310344827586207,0.21003134796238254,-0.3904118725023886,,,0,2026-05-10T21:50:52
37,8091,翔名,半導體業,72.0,,100.0,23.0,100.0,,,0.0,S4,hold_or_trail,"[""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",192.0,0.33797909407665516,0.4014598540145986,0.202505325077747,,,0,2026-05-10T21:50:52
38,4967,十銓,半導體業,72.0,,85.0,38.0,100.0,,,0.0,S4,hold_or_trail,"[""成交量為 20 日均量 1.4 倍，屬於有效放量區"", ""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",281.0,0.4120603015075377,0.3640776699029127,0.49579778667099933,,,0,2026-05-10T21:50:52
39,5471,松翰,半導體業,72.0,,100.0,23.0,100.0,,,0.0,S2,early_watch,"[""均線結構轉為多頭排列"", ""價量轉強但尚未完全過熱，預期差仍可接受""]","[""revenue 缺資料，雷達降級"", ""chip 缺資料，雷達降級"", ""catalyst 缺資料，雷達降級""]",42.0,0.12149530425546029,0.13975581381626467,-0.35439124760017854,,,0,2026-05-10T21:50:52
