period_date,rank,symbol,name,score_total,stage,entry_zone,forward_max_return,forward_close_return,forward_max_drawdown,hit_3x,hit_5x
2022-03-01,8,1773,勝一,70.0,S2,early_watch,0.17692307692307696,-0.125,-0.15384615384615385,0,0
2022-03-01,9,2006,東和鋼鐵,70.0,S2,early_watch,0.1521127190388425,-0.23239436619718312,-0.3190141059982945,0,0
2022-03-01,10,2015,豐興,70.0,S2,early_watch,0.1200000000000001,-0.24457144601004466,-0.2571428571428571,0,0
2022-03-01,11,2412,中華電,70.0,S2,early_watch,0.06024096385542177,-0.016064257028112428,-0.048192771084337394,0,0
2022-03-01,12,2477,美隆電,70.0,S2,early_watch,0.06134969325153383,-0.36042944785276076,-0.4187116564417178,0,0
2022-03-01,13,2480,敦陽科,70.0,S2,early_watch,0.1033707522274403,-0.053932618559076495,-0.13595503903506845,0,0
2022-03-01,14,2603,長榮,70.0,S2,early_watch,0.09302325581395343,-0.415282392026578,-0.46976744186046515,0,0
2022-03-01,15,2906,高林,70.0,S2,early_watch,0.19166668256123853,-0.23541665077209473,-0.3125,0,0
2022-03-01,16,3029,零壹,70.0,S2,early_watch,0.030176915420657924,-0.12591049600671456,-0.2237252897125671,0,0
2022-03-01,17,3035,智原,70.0,S2,early_watch,0.07679465776293815,-0.3706176961602671,-0.5108514190317195,0,0
2022-03-01,18,3037,欣興,70.0,S2,early_watch,0.014198782961460488,-0.3793103448275862,-0.40770791075050705,0,0
2022-03-01,19,3048,益登,70.0,S2,early_watch,0.009198483464815999,-0.23653088516317333,-0.2825230017226792,0,0
2022-03-01,20,3209,全科,70.0,S2,early_watch,0.2258621012158124,0.17465515596206016,-0.027298835946414135,0,0
2022-04-01,1,4707,磐亞,70.0,S2,early_watch,0.011152416356877248,-0.11524163568773227,-0.11524163568773227,0,0
2022-04-01,2,4728,雙美,70.0,S2,early_watch,0.15714285714285725,0.0535714285714286,-0.3135714285714286,0,0
2022-04-01,3,5468,凱鈺,70.0,S2,early_watch,0.5703422053231937,-0.3136882129277566,-0.3231939163498099,0,0
2022-04-01,4,6122,擎邦,70.0,S2,early_watch,0.1618497109826591,-0.10404624277456653,-0.10404624277456653,0,0
2022-04-01,5,6508,惠光,70.0,S2,early_watch,0.41333333333333333,-0.1100000000000001,-0.21111111111111114,0,0
2022-04-01,6,2515,中工,70.0,S2,early_watch,0.014492677884500482,-0.22608700406880433,-0.2357488538432796,0,0
2022-04-01,7,2836,高雄銀,70.0,S2,early_watch,0.04983392848720092,-0.14433218820006122,-0.14433218820006122,0,0
2022-04-01,8,2850,新產,70.0,S2,early_watch,0.060109274049928496,-0.1566484890672447,-0.1566484890672447,0,0
2022-04-01,9,2885,元大金,70.0,S2,early_watch,0.022556396899022113,-0.2526691335982456,-0.2932330809302933,0,0
2022-04-01,10,2886,兆豐金,70.0,S2,early_watch,0.04292341973461955,-0.2710846851280051,-0.2710846851280051,0,0
2022-04-01,11,2889,國票金,70.0,S2,early_watch,0.017751542680161325,-0.276183435653533,-0.2886094462105754,0,0
2022-04-01,12,2891,中信金,70.0,S2,early_watch,0.02847572430844547,-0.34003348371248887,-0.34003348371248887,0,0
2022-04-01,13,3703,欣陸,70.0,S2,early_watch,0.2359550208629646,0.1235954735117859,-0.05056181059528564,0,0
2022-04-01,14,4104,佳醫,70.0,S2,early_watch,0.06092126994818092,-0.001485839261487043,-0.06537885662994625,0,0
2022-04-01,15,5519,隆大,70.0,S2,early_watch,-0.017964026718414572,-0.12574849159555923,-0.18562873294026971,0,0
2022-04-01,16,5533,皇鼎,70.0,S2,early_watch,0.0831234048776428,-0.1284635312546213,-0.14357684265488702,0,0
2022-04-01,17,6550,北極星藥業-KY,70.0,S2,early_watch,0.7370517928286853,-0.047808764940239,-0.2828685258964143,0,0
2022-04-01,18,9802,鈺齊-KY,70.0,S2,early_watch,0.6111111111111112,0.21031746031746024,0.0,0,0
2022-04-01,19,4906,正文,69.98,S2,early_watch,0.013513536734218068,-0.18618615608527278,-0.2177177227058691,0,0
2022-04-01,20,6130,上亞科技,69.5493,S2,early_watch,-0.06617647058823528,-0.28308823529411764,-0.4439338235294118,0,0
2022-05-03,1,8420,明揚,70.0,S2,early_watch,0.7222222222222223,0.4506172839506173,-0.028806584362139898,0,0
2022-05-03,2,2912,統一超,70.0,S2,early_watch,0.06810035842293916,-0.03942652329749108,-0.06989247311827962,0,0
2022-05-03,3,4175,杏一,68.1843,S2,early_watch,-0.03369434416365824,-0.17087845968712378,-0.1937424789410348,0,0
2022-05-03,4,4108,懷特,64.5479,S2,early_watch,-0.002336412988402703,-0.18925230417077432,-0.19392521927602213,0,0
2022-05-03,5,2915,潤泰全,63.2665,S2,early_watch,0.037656885644625104,-0.5252262503194884,-0.5729616472775318,0,0
2022-05-03,6,4121,優盛,62.7297,S2,early_watch,-0.07913669064748197,-0.3165467625899281,-0.32194244604316546,0,0
2022-05-03,7,6576,逸達,62.7297,S2,early_watch,0.13983050847457634,-0.3771186440677966,-0.4008474576271186,0,0
2022-05-03,8,1731,美吾華,62.7297,S2,early_watch,-0.007299251780981009,-0.13625300929505324,-0.18734786457694264,0,0
2022-05-03,9,9945,潤泰新,62.2866,S2,early_watch,0.008793936281841663,-0.2537688460091997,-0.37374371530124595,0,0
2022-05-03,10,8171,天宇,61.7085,S2,early_watch,-0.03345724907063197,-0.3197026022304832,-0.3503717472118958,0,0
2022-05-03,11,8938,明安,61.1456,S2,early_watch,0.25854214123006836,0.05808656036446469,-0.16514806378132119,0,0
2022-05-03,12,6579,研揚,60.2398,S2,early_watch,0.07710014413438304,-0.13348674242930447,-0.19792870071410984,0,0
2022-05-03,13,6241,易通展,59.5307,S2,early_watch,0.029126213592232997,-0.6225728155339806,-0.6759708737864079,0,0
2022-05-03,14,1808,潤隆,59.1169,S2,early_watch,0.22128879681690394,0.18752040446177554,0.0016313650584927064,0,0
2022-05-03,15,4102,永日,59.0934,S2,early_watch,0.25877192982456143,0.24342105263157898,-0.27192982456140347,0,0
2022-05-03,16,4105,東洋,59.0934,S2,early_watch,0.04026845637583887,0.005369127516778649,-0.10067114093959728,0,0
2022-05-03,17,4157,太景*-KY,59.0934,S2,early_watch,0.19770773638968486,-0.18624641833810884,-0.22349570200573055,0,0
2022-05-03,18,8403,盛弘,59.0934,S2,early_watch,0.3266998341625207,-0.02487562189054726,-0.06467661691542281,0,0
2022-05-03,19,1720,生達,59.0934,S2,early_watch,0.12076754810285983,0.006771991923863796,-0.05191871956368821,0,0
2022-05-03,20,1733,五鼎,59.0934,S2,early_watch,0.06099820970117742,-0.13863216657182809,-0.14602583981514583,0,0
2022-06-01,1,2745,五福,70.0,S2,early_watch,0.2064128256513027,-0.28056112224448904,-0.4288577154308617,0,0
2022-06-01,2,3163,波若威,70.0,S2,early_watch,0.1029668411867366,0.022687609075043635,-0.2931937172774869,0,0
2022-06-01,3,6561,是方,70.0,S2,early_watch,-0.0016339869281045694,-0.08496732026143794,-0.14379084967320266,0,0
2022-06-01,4,6616,特昇-KY,70.0,S2,early_watch,-0.04173622704507518,-0.5225375626043405,-0.5542570951585977,0,0
2022-06-01,5,1590,亞德客-KY,70.0,S2,early_watch,0.1071060762100926,-0.06385169927909373,-0.3274974253347065,0,0
2022-06-01,6,2201,裕隆,70.0,S2,early_watch,0.41484724081870294,0.39082976453936236,-0.12991268190847038,0,0
2022-06-01,7,2317,鴻海,70.0,S2,early_watch,0.008733624454148492,-0.1266375545851528,-0.1266375545851528,0,0
2022-06-01,8,2342,茂矽,70.0,S2,early_watch,-0.019501657554100493,-0.10075842626508669,-0.3477789948806186,0,0
2022-06-01,9,2444,兆勁,70.0,S2,early_watch,0.11510794427193694,0.010791408368430622,-0.2302158199342088,0,0
2022-06-01,10,2474,可成,70.0,S2,early_watch,0.0997067448680351,0.061583577712609916,-0.07624633431085048,0,0
2022-06-01,11,2484,希華,70.0,S2,early_watch,0.077987382996757,-0.08553462958185931,-0.2742138268812647,0,0
2022-06-01,12,4755,三福化,70.0,S2,early_watch,-0.004415011037527616,-0.4746136865342163,-0.5452538631346578,0,0
2022-06-01,13,4958,臻鼎-KY,70.0,S2,early_watch,0.008403361344537785,0.0,-0.22436972225413598,0,0
2022-06-01,14,6176,瑞儀,70.0,S2,early_watch,0.0,-0.023474178403755874,-0.2300469483568075,0,0
2022-06-01,15,6257,矽格,70.0,S2,early_watch,0.033167496273711405,-0.17081259315721742,-0.3034825782520627,0,0
2022-06-01,16,6605,帝寶,70.0,S2,early_watch,0.1360544217687074,0.032653081984747034,-0.10612249050010625,0,0
2022-06-01,17,8261,富鼎,70.0,S2,early_watch,-0.017605633802816878,-0.20070422535211263,-0.34999997850874776,0,0
2022-06-01,18,9802,鈺齊-KY,70.0,S2,early_watch,0.26086956521739135,-0.07453416149068326,-0.2080745341614907,0,0
2022-06-01,19,5258,虹堡,69.9222,S2,early_watch,0.5076375941004161,0.26968982478995107,-0.04249782979908623,0,0
2022-06-01,20,1560,中砂,69.5066,S2,early_watch,0.051515151515151514,-0.3303030303030303,-0.406060606060606,0,0
2022-07-01,1,4979,華星光,66.1978,S2,early_watch,1.3276595744680852,0.7319148936170214,0.0,0,0
2022-07-01,2,4114,健喬,62.8059,S2,early_watch,0.6825396825396826,0.5142857142857145,-0.060317460317460325,0,0
2022-07-01,3,4162,智擎,62.8059,S2,early_watch,0.6422947131608547,0.39482564679415066,-0.08211473565804284,0,0
2022-07-01,4,1720,生達,62.8059,S2,early_watch,0.44766142073594595,0.33184849008510087,-0.04342985961404777,0,0
2022-07-01,5,6245,立端,62.5614,S2,early_watch,0.7391304347826086,0.4653784219001611,-0.11594202898550732,0,0
2022-07-01,6,1231,聯華食,61.6663,S2,early_watch,0.03760874202433828,-0.061453059375782715,-0.18972537955728608,0,0
