entry_zone,forward_close_return,forward_max_drawdown,forward_max_return,forward_min_return_from_entry,forward_path_max_drawdown,hit_3x,hit_5x,name,period_date,rank,score_total,stage,strategy_name,symbol,trade_date
early_watch,0.42697886683159325,-0.25863988559139883,0.5384615908028114,-0.25863988559139883,-0.26842685496470875,0,0,建準,2025-04-01,16,9.0,S2,random_top_n,2421,2025-04-01
early_watch,0.09000002543131513,-0.050000000000000044,0.14000002543131518,-0.050000000000000044,-0.05555559893255402,0,0,華票,2025-04-01,17,3.0,S2,random_top_n,2820,2025-04-01
early_watch,0.6424242655436199,-0.26060607216574927,1.2666667591441763,-0.26060607216574927,-0.31417116117544075,0,0,台玻,2025-04-01,18,12.0,S2,random_top_n,1802,2025-04-01
early_watch,-0.15473441108545039,-0.35796766743648956,-0.002309468822170868,-0.35796766743648956,-0.35796766743648956,0,0,喬山,2025-04-01,19,27.6,S2,random_top_n,1736,2025-04-01
early_watch,-0.08421052631578951,-0.24561403508771928,-0.007017543859649145,-0.24561403508771928,-0.24561403508771928,0,0,聯陽,2025-04-01,20,11.0,S2,random_top_n,3014,2025-04-01
early_watch,-0.10820894407041592,-0.16324627330399333,0.24626874913083974,-0.16324627330399333,-0.32859286788698905,0,0,寶一,2025-04-01,1,33.6,S2,breakout_120d_only,8222,2025-04-01
early_watch,-0.06851851851851853,-0.24814814814814812,0.014814814814814836,-0.24814814814814812,-0.25912408759124084,0,0,久裕,2025-04-01,2,36.6,S2,breakout_120d_only,4173,2025-04-01
early_watch,0.09722222222222232,-0.0805555555555556,0.1499999999999999,-0.0805555555555556,-0.14249999999999996,0,0,八方雲集,2025-04-01,3,36.6,S2,breakout_120d_only,2753,2025-04-01
early_watch,0.06060606060606055,-0.20303032614968042,0.14545452233516798,-0.20303032614968042,-0.20303032614968042,0,0,榮運,2025-04-01,4,34.6,S2,breakout_120d_only,2607,2025-04-01
early_watch,-0.04679002154909584,-0.13166483431138742,0.07834599378341345,-0.13166483431138742,-0.18466191426977796,0,0,聯電,2025-04-01,1,31.2,S2,volume_expansion_only,2303,2025-04-01
early_watch,-0.19714964370546317,-0.20190023752969122,0.09263657957244664,-0.20190023752969122,-0.26956521739130435,0,0,天鈺,2025-04-01,2,12.0,S2,volume_expansion_only,4961,2025-04-01
early_watch,0.44023256836102553,-0.2523255547976866,0.7293023378544463,-0.2523255547976866,-0.2701475640894232,0,0,華城,2025-04-01,3,14.0,S2,volume_expansion_only,1519,2025-04-01
early_watch,0.14382632293080055,-0.24287652645861613,0.20081411126187243,-0.24287652645861613,-0.245945945945946,0,0,欣銓,2025-04-01,4,24.6,S2,volume_expansion_only,3264,2025-04-01
early_watch,0.02573525132192578,-0.2775735636999028,0.16176468732035332,-0.2775735636999028,-0.2775735636999028,0,0,矽統,2025-04-01,5,14.0,S2,volume_expansion_only,2363,2025-04-01
early_watch,-0.42660097770503,-0.4275862219298414,-0.044334975369458074,-0.4275862219298414,-0.4275862219298414,0,0,欣巴巴,2025-04-01,6,14.0,S2,volume_expansion_only,9906,2025-04-01
